ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,label
167772687,167772674,60,1,0,0,0,0,64,6,64240,0,0,0,0,0,2,0,0,0,0,0,18.148999,3.993568,0,0,benign
167772674,167772687,60,1,0,0,0,0,64,6,5792,1,0,0,0,0,18,0.00195,0,0,0,0,18.150949,0.00195,0.00195,0.00195,benign
167772687,167772674,52,1,0,0,0,0,64,6,64256,1,1,0,0,0,16,0.001929,0,0,0,0,18.152878,0.001929,0.003879,0.001929,benign
167772687,167772674,124,1,0,0,0,0,64,6,64256,1,1,72,0,0,24,0,0,0,1,0,18.153879,0.001001,0.00488,0.001001,benign
167772674,167772687,52,1,0,0,0,0,64,6,5824,73,1,0,0,0,16,0.001927,0,0,0,0,18.155806,0.001927,0.006807,0.001927,benign
167772674,167772687,1119,1,0,0,0,0,64,6,5824,73,1,1067,0,0,24,0,0,0,0,0,18.163623,0.007817,0.014624,0.007817,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1068,73,0,0,0,16,0.002919,0,0,0,0,18.166542,0.002919,0.017543,0.002919,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1068,73,0,0,0,17,0,0,0,0,0,18.167518,0.000976,0.018519,0.000976,benign
167772674,167772687,52,1,0,0,0,0,64,6,5824,74,1068,0,0,0,17,0.001954,0,0,0,0,18.169472,0.001954,0.020473,0.001954,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1069,74,0,0,0,16,0.00195,0,0,0,0,18.171422,0.00195,0.022423,0.00195,benign
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.891339,0.719917,0,0,benign
167772687,167772674,60,1,0,0,0,0,64,6,64240,0,0,0,1,0,2,0,0,0,0,0,23.173154,4.281815,0,0,benign
167772674,167772687,60,1,0,0,0,0,64,6,5792,1,0,0,1,0,18,0.00195,0,0,0,0,23.175104,0.00195,0.00195,0.00195,benign
167772687,167772674,52,1,0,0,0,0,64,6,64256,1,1,0,1,0,16,0.001953,0,0,0,0,23.177057,0.001953,0.003903,0.001953,benign
167772687,167772674,124,1,0,0,0,0,64,6,64256,1,1,72,1,0,24,0,0,0,1,0,23.177057,0,0.003903,0,benign
167772674,167772687,52,1,0,0,0,0,64,6,5824,73,1,0,1,0,16,0.001952,0,0,0,0,23.179009,0.001952,0.005855,0.001952,benign
167772674,167772687,1119,1,0,0,0,0,64,6,5824,73,1,1067,1,0,24,0,0,0,0,0,23.186817,0.007808,0.013663,0.007808,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1068,73,0,1,0,16,0.001953,0,0,0,0,23.18877,0.001953,0.015616,0.001953,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1068,73,0,1,0,17,0,0,0,0,0,23.189746,0.000976,0.016592,0.000976,benign
167772674,167772687,52,1,0,0,0,0,64,6,5824,74,1068,0,1,0,17,0.000975,0,0,0,0,23.190721,0.000975,0.017567,0.000975,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1069,74,0,1,0,16,0.001953,0,0,0,0,23.192674,0.001953,0.01952,0.001953,benign
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.609457,0.416783,0,0,benign
167772687,167772674,60,1,0,0,0,0,64,6,64240,0,0,0,2,0,2,0,0,0,0,0,28.193502,4.584045,0,0,benign
167772674,167772687,60,1,0,0,0,0,64,6,5792,1,0,0,2,0,18,0.001935,0,0,0,0,28.195437,0.001935,0.001935,0.001935,benign
167772687,167772674,52,1,0,0,0,0,64,6,64256,1,1,0,2,0,16,0.001951,0,0,0,0,28.197388,0.001951,0.003886,0.001951,benign
167772687,167772674,124,1,0,0,0,0,64,6,64256,1,1,72,2,0,24,0,0,0,1,0,28.197388,0,0.003886,0,benign
167772674,167772687,52,1,0,0,0,0,64,6,5824,73,1,0,2,0,16,0.001952,0,0,0,0,28.19934,0.001952,0.005838,0.001952,benign
167772674,167772687,1119,1,0,0,0,0,64,6,5824,73,1,1067,2,0,24,0,0,0,0,0,28.206171,0.006831,0.012669,0.006831,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1068,73,0,2,0,16,0.003908,0,0,0,0,28.210079,0.003908,0.016577,0.003908,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1068,73,0,2,0,17,0,0,0,0,0,28.211055,0.000976,0.017553,0.000976,benign
167772674,167772687,52,1,0,0,0,0,64,6,5824,74,1068,0,2,0,17,0.002925,0,0,0,0,28.21398,0.002925,0.020478,0.002925,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1069,74,0,2,0,16,0.002929,0,0,0,0,28.216909,0.002929,0.023407,0.002929,benign
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.36737,0.150461,0,0,benign
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.127473,4.760103,0,0,benign
167772687,167772674,60,1,0,0,0,0,64,6,64240,0,0,0,3,0,2,0,0,0,0,0,33.216848,0.089375,0,0,benign
167772674,167772687,60,1,0,0,0,0,64,6,5792,1,0,0,3,0,18,0.001951,0,0,0,0,33.218799,0.001951,0.001951,0.001951,benign
167772687,167772674,52,1,0,0,0,0,64,6,64256,1,1,0,3,0,16,0.000976,0,0,0,0,33.219775,0.000976,0.002927,0.000976,benign
167772687,167772674,124,1,0,0,0,0,64,6,64256,1,1,72,3,0,24,0,0,0,1,0,33.220787,0.001012,0.003939,0.001012,benign
167772674,167772687,52,1,0,0,0,0,64,6,5824,73,1,0,3,0,16,0.001947,0,0,0,0,33.222734,0.001947,0.005886,0.001947,benign
167772674,167772687,1119,1,0,0,0,0,64,6,5824,73,1,1067,3,0,24,0,0,0,0,0,33.230543,0.007809,0.013695,0.007809,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1068,73,0,3,0,16,0.001945,0,0,0,0,33.232488,0.001945,0.01564,0.001945,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1068,73,0,3,0,17,0,0,0,0,0,33.233438,0.00095,0.01659,0.00095,benign
167772674,167772687,52,1,0,0,0,0,64,6,5824,74,1068,0,3,0,17,0.001952,0,0,0,0,33.23539,0.001952,0.018542,0.001952,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1069,74,0,3,0,16,0.001953,0,0,0,0,33.237343,0.001953,0.020495,0.001953,benign
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.822132,4.584789,0,0,benign
167772687,167772674,60,1,0,0,0,0,64,6,64240,0,0,0,4,0,2,0,0,0,0,0,38.247667,0.425535,0,0,benign
167772674,167772687,60,1,0,0,0,0,64,6,5792,1,0,0,4,0,18,0.001983,0,0,0,0,38.24965,0.001983,0.001983,0.001983,benign
167772687,167772674,52,1,0,0,0,0,64,6,64256,1,1,0,4,0,16,0.001921,0,0,0,0,38.251571,0.001921,0.003904,0.001921,benign
167772687,167772674,124,1,0,0,0,0,64,6,64256,1,1,72,4,0,24,0,0,0,1,0,38.252548,0.000977,0.004881,0.000977,benign
167772674,167772687,52,1,0,0,0,0,64,6,5824,73,1,0,4,0,16,0.001006,0,0,0,0,38.253554,0.001006,0.005887,0.001006,benign
167772674,167772687,1119,1,0,0,0,0,64,6,5824,73,1,1067,4,0,24,0,0,0,0,0,38.262346,0.008792,0.014679,0.008792,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1068,73,0,4,0,16,0.001912,0,0,0,0,38.264258,0.001912,0.016591,0.001912,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1068,73,0,4,0,17,0,0,0,0,0,38.265236,0.000978,0.017569,0.000978,benign
167772674,167772687,52,1,0,0,0,0,64,6,5824,74,1068,0,4,0,17,0.001951,0,0,0,0,38.267187,0.001951,0.01952,0.001951,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1069,74,0,4,0,16,0.001952,0,0,0,0,38.269139,0.001952,0.021472,0.001952,benign
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.579603,4.310464,0,0,benign
167772687,167772674,60,1,0,0,0,0,64,6,64240,0,0,0,5,0,2,0,0,0,0,0,43.276055,0.696452,0,0,benign
167772674,167772687,60,1,0,0,0,0,64,6,5792,1,0,0,5,0,18,0.001947,0,0,0,0,43.278002,0.001947,0.001947,0.001947,benign
167772687,167772674,52,1,0,0,0,0,64,6,64256,1,1,0,5,0,16,0.001952,0,0,0,0,43.279954,0.001952,0.003899,0.001952,benign
167772687,167772674,124,1,0,0,0,0,64,6,64256,1,1,72,5,0,24,0,0,0,1,0,43.279954,0,0.003899,0,benign
167772674,167772687,52,1,0,0,0,0,64,6,5824,73,1,0,5,0,16,0.001985,0,0,0,0,43.281939,0.001985,0.005884,0.001985,benign
167772674,167772687,1119,1,0,0,0,0,64,6,5824,73,1,1067,5,0,24,0,0,0,0,0,43.290641,0.008702,0.014586,0.008702,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1068,73,0,5,0,16,0.001964,0,0,0,0,43.292605,0.001964,0.01655,0.001964,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1068,73,0,5,0,17,0,0,0,0,0,43.29357,0.000965,0.017515,0.000965,benign
167772674,167772687,52,1,0,0,0,0,64,6,5824,74,1068,0,5,0,17,0.001952,0,0,0,0,43.295522,0.001952,0.019467,0.001952,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1069,74,0,5,0,16,0.000987,0,0,0,0,43.296509,0.000987,0.020454,0.000987,benign
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.320828,4.024319,0,0,benign
167772687,167772674,60,1,0,0,0,0,64,6,64240,0,0,0,6,0,2,0,0,0,0,0,48.314329,0.993501,0,0,benign
167772674,167772687,60,1,0,0,0,0,64,6,5792,1,0,0,6,0,18,0.001984,0,0,0,0,48.316313,0.001984,0.001984,0.001984,benign
167772687,167772674,52,1,0,0,0,0,64,6,64256,1,1,0,6,0,16,0.00192,0,0,0,0,48.318233,0.00192,0.003904,0.00192,benign
167772687,167772674,124,1,0,0,0,0,64,6,64256,1,1,72,6,0,24,0,0,0,1,0,48.318233,0,0.003904,0,benign
167772674,167772687,52,1,0,0,0,0,64,6,5824,73,1,0,6,0,16,0.001952,0,0,0,0,48.320185,0.001952,0.005856,0.001952,benign
167772674,167772687,1119,1,0,0,0,0,64,6,5824,73,1,1067,6,0,24,0,0,0,0,0,48.327018,0.006833,0.012689,0.006833,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1068,73,0,6,0,16,0.001953,0,0,0,0,48.328971,0.001953,0.014642,0.001953,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1068,73,0,6,0,17,0,0,0,0,0,48.329948,0.000977,0.015619,0.000977,benign
167772674,167772687,52,1,0,0,0,0,64,6,5824,74,1068,0,6,0,17,0.000974,0,0,0,0,48.330922,0.000974,0.016593,0.000974,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1069,74,0,6,0,16,0.001953,0,0,0,0,48.332875,0.001953,0.018546,0.001953,benign
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0856,3.752725,0,0,benign
167772687,167772674,60,1,0,0,0,0,64,6,64240,0,0,0,7,0,2,0,0,0,0,0,53.335622,1.250022,0,0,benign
167772674,167772687,60,1,0,0,0,0,64,6,5792,1,0,0,7,0,18,0.000977,0,0,0,0,53.336599,0.000977,0.000977,0.000977,benign
167772687,167772674,52,1,0,0,0,0,64,6,64256,1,1,0,7,0,16,0.001988,0,0,0,0,53.338587,0.001988,0.002965,0.001988,benign
167772687,167772674,124,1,0,0,0,0,64,6,64256,1,1,72,7,0,24,0,0,0,1,0,53.339547,0.00096,0.003925,0.00096,benign
167772674,167772687,52,1,0,0,0,0,64,6,5824,73,1,0,7,0,16,0.000955,0,0,0,0,53.340502,0.000955,0.00488,0.000955,benign
167772674,167772687,1119,1,0,0,0,0,64,6,5824,73,1,1067,7,0,24,0,0,0,0,0,53.349287,0.008785,0.013665,0.008785,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1068,73,0,7,0,16,0.002929,0,0,0,0,53.352216,0.002929,0.016594,0.002929,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1068,73,0,7,0,17,0,0,0,0,0,53.353189,0.000973,0.017567,0.000973,benign
167772674,167772687,52,1,0,0,0,0,64,6,5824,74,1068,0,7,0,17,0.00098,0,0,0,0,53.354169,0.00098,0.018547,0.00098,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1069,74,0,7,0,16,0.001951,0,0,0,0,53.35612,0.001951,0.020498,0.001951,benign
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.849179,3.493059,0,0,benign
167772687,167772674,60,1,0,0,0,0,64,6,64240,0,0,0,8,0,2,0,0,0,0,0,58.36613,1.516951,0,0,benign
167772674,167772687,60,1,0,0,0,0,64,6,5792,1,0,0,8,0,18,0.002923,0,0,0,0,58.369053,0.002923,0.002923,0.002923,benign
167772687,167772674,52,1,0,0,0,0,64,6,64256,1,1,0,8,0,16,0.001952,0,0,0,0,58.371005,0.001952,0.004875,0.001952,benign
167772687,167772674,124,1,0,0,0,0,64,6,64256,1,1,72,8,0,24,0,0,0,1,0,58.371005,0,0.004875,0,benign
167772674,167772687,52,1,0,0,0,0,64,6,5824,73,1,0,8,0,16,0.001954,0,0,0,0,58.372959,0.001954,0.006829,0.001954,benign
167772674,167772687,1119,1,0,0,0,0,64,6,5824,73,1,1067,8,0,24,0,0,0,0,0,58.381742,0.008783,0.015612,0.008783,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1068,73,0,8,0,16,0.001951,0,0,0,0,58.383693,0.001951,0.017563,0.001951,benign
167772687,167772674,52,1,0,0,0,0,64,6,64128,1068,73,0,8,0,17,0,0,0,0,0,58.389551,0.005858,0.023421,0.005858,benign
